scan_id,has_t1,has_lesion,has_dmri,has_bvec,has_bval,t1_path,lesion_path,t1_shape,t1_error,lesion_shape,lesion_voxels,lesion_unique,lesion_error,matched,shape_match,lesion_positive,lesion_empty,has_any_error,pairing_status
0016,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0016_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0033,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0033_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0033_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0040,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0040_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0040_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0050,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0050_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0050_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0059,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0059_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0059_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0077,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0077_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0077_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0089,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0089_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0089_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0096,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0096_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0096_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0099,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0099_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0099_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0105,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0105_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0105_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0106,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0106_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0106_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0110,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0110_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0110_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0118,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0118_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0118_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0120,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0120_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0120_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0122,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0122_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0122_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0131,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0131_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0131_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0139,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0139_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0139_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0140,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0140_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0140_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0141,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0141_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0141_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0142,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0142_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0142_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
0147,True,True,True,True,True,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0147_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0147_Lesion.nii.gz,"(256, 256, 176)",,"(256, 256, 176)",0.0,[0.0],,True,True,False,True,False,matched_empty
0148,True,True,False,False,False,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0148_T1.nii.gz,/data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/MICCAI_AIMS_TBI/scan_0148_Lesion.nii.gz,"(256, 256, 256)",,"(256, 256, 256)",0.0,[0.0],,True,True,False,True,False,matched_empty
