threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.075,0,0020,0.24688561721404303,0.2809278350515464,0.2202020202020202,495,tiny,388,tiny,109,279,386,0,0
0.075,3,0020,0.24688561721404303,0.2809278350515464,0.2202020202020202,495,tiny,388,tiny,109,279,386,0,0
0.1,0,0020,0.23803967327887982,0.281767955801105,0.20606060606060606,495,tiny,362,tiny,102,260,393,0,0
0.1,3,0020,0.23803967327887982,0.281767955801105,0.20606060606060606,495,tiny,362,tiny,102,260,393,0,0
0.125,0,0020,0.22327790973871733,0.27089337175792505,0.1898989898989899,495,tiny,347,tiny,94,253,401,0,0
0.125,3,0020,0.22327790973871733,0.27089337175792505,0.1898989898989899,495,tiny,347,tiny,94,253,401,0,0
0.075,0,0021,0.6421568627450981,0.47985347985347987,0.9703703703703703,135,tiny,273,tiny,131,142,4,0,0
0.075,3,0021,0.6421568627450981,0.47985347985347987,0.9703703703703703,135,tiny,273,tiny,131,142,4,0,0
0.1,0,0021,0.6565656565656566,0.49808429118773945,0.9629629629629629,135,tiny,261,tiny,130,131,5,0,0
0.1,3,0021,0.6565656565656566,0.49808429118773945,0.9629629629629629,135,tiny,261,tiny,130,131,5,0,0
0.125,0,0021,0.6666666666666666,0.5119047619047619,0.9555555555555556,135,tiny,252,tiny,129,123,6,0,0
0.125,3,0021,0.6666666666666666,0.5119047619047619,0.9555555555555556,135,tiny,252,tiny,129,123,6,0,0
0.075,0,0029,0.6140901312036509,0.5202996616723055,0.7491301322199025,2898,small,4138,small,2153,1985,721,0,0
0.075,3,0029,0.6142653352353781,0.5205512572533849,0.7491301322199025,2898,small,4136,small,2153,1983,721,0,0
0.1,0,0029,0.6209112149532711,0.5349773527931555,0.7397355601948504,2898,small,3974,small,2126,1848,748,0,0
0.1,3,0029,0.6210926088226701,0.5352467270896274,0.7397355601948504,2898,small,3972,small,2126,1846,748,0,0
0.125,0,0029,0.6248327137546469,0.5455725785510257,0.7310368823938761,2898,small,3851,small,2101,1750,773,0,0
0.125,3,0029,0.6247953564518529,0.5459037711313394,0.7303409881697982,2898,small,3845,small,2099,1746,775,0,0
0.075,0,0036,0.5657878897315517,0.5758392550845381,0.5560814008518694,4226,small,4081,small,2350,1731,1876,0,0
0.075,3,0036,0.5654374548083876,0.5761296660117878,0.5551348793185045,4226,small,4072,small,2346,1726,1880,0,0
0.1,0,0036,0.5673950405106801,0.5895408163265307,0.5468528159015618,4226,small,3920,small,2311,1609,1915,0,0
0.1,3,0036,0.5674978503869303,0.5900383141762452,0.5466161855182206,4226,small,3915,small,2310,1605,1916,0,0
0.125,0,0036,0.5672763718366324,0.6027689030883919,0.5357311878845243,4226,small,3756,small,2264,1492,1962,0,0
0.125,3,0036,0.567489660358441,0.6032507327471356,0.5357311878845243,4226,small,3753,small,2264,1489,1962,0,0
0.075,0,0062,0.293854748603352,0.1795221843003413,0.8092307692307692,325,tiny,1465,small,263,1202,62,0,0
0.075,3,0062,0.2940190050307434,0.1796448087431694,0.8092307692307692,325,tiny,1464,small,263,1201,62,0,0
0.1,0,0062,0.3093396787626413,0.19174041297935104,0.8,325,tiny,1356,small,260,1096,65,0,0
0.1,3,0062,0.3093396787626413,0.19174041297935104,0.8,325,tiny,1356,small,260,1096,65,0,0
0.125,0,0062,0.3192960402262728,0.20063191153238547,0.7815384615384615,325,tiny,1266,small,254,1012,71,0,0
0.125,3,0062,0.3192960402262728,0.20063191153238547,0.7815384615384615,325,tiny,1266,small,254,1012,71,0,0
0.075,0,0073,0.34234234234234234,0.35403726708074534,0.3313953488372093,176,tiny,161,tiny,57,104,115,0,0
0.075,3,0073,0.34234234234234234,0.35403726708074534,0.3313953488372093,176,tiny,161,tiny,57,104,115,0,0
0.1,0,0073,0.3167701863354037,0.34,0.29651162790697677,176,tiny,150,tiny,51,99,121,0,0
0.1,3,0073,0.3167701863354037,0.34,0.29651162790697677,176,tiny,150,tiny,51,99,121,0,0
0.125,0,0073,0.28938906752411575,0.3237410071942446,0.2616279069767442,176,tiny,139,tiny,45,94,127,0,0
0.125,3,0073,0.2727272727272727,0.3088235294117647,0.2441860465116279,176,tiny,136,tiny,42,94,130,0,0
0.075,0,0097,0.01904761904761905,0.05714285714285714,0.011428571428571429,173,tiny,35,very_tiny,2,33,173,0,0
0.075,3,0097,0.01904761904761905,0.05714285714285714,0.011428571428571429,173,tiny,35,very_tiny,2,33,173,0,0
0.1,0,0097,0.01932367149758454,0.0625,0.011428571428571429,173,tiny,32,very_tiny,2,30,173,0,0
0.1,3,0097,0.01932367149758454,0.0625,0.011428571428571429,173,tiny,32,very_tiny,2,30,173,0,0
0.125,0,0097,0.01,0.04,0.005714285714285714,173,tiny,25,very_tiny,1,24,174,0,0
0.125,3,0097,0.01,0.04,0.005714285714285714,173,tiny,25,very_tiny,1,24,174,0,0
0.075,0,0108,0.6184254606365159,0.6257627118644068,0.6112582781456953,4530,small,4425,small,2769,1656,1761,0,0
0.075,3,0108,0.6184092940125112,0.6259611035730439,0.611037527593819,4530,small,4422,small,2768,1654,1762,0,0
0.1,0,0108,0.6203440027337965,0.6408566721581549,0.6011037527593819,4530,small,4249,small,2723,1526,1807,0,0
0.1,3,0108,0.6201868307131465,0.6407721280602636,0.6008830022075056,4530,small,4248,small,2722,1526,1808,0,0
0.125,0,0108,0.6198097889120854,0.6529814271749755,0.5898454746136865,4530,small,4092,small,2672,1420,1858,0,0
0.125,3,0108,0.6198816842593666,0.6531410413101931,0.5898454746136865,4530,small,4091,small,2672,1419,1858,0,0
0.075,0,0130,0.6317494600431965,0.5701754385964912,0.7082324455205811,826,tiny,1026,small,585,441,241,0,0
0.075,3,0130,0.6317494600431965,0.5701754385964912,0.7082324455205811,826,tiny,1026,small,585,441,241,0,0
0.1,0,0130,0.6293859649122807,0.5751503006012024,0.6949152542372882,826,tiny,998,tiny,574,424,252,0,0
0.1,3,0130,0.6293859649122807,0.5751503006012024,0.6949152542372882,826,tiny,998,tiny,574,424,252,0,0
0.125,0,0130,0.6282839575181666,0.5835929387331257,0.6803874092009685,826,tiny,963,tiny,562,401,264,0,0
0.125,3,0130,0.6278026905829597,0.5845511482254697,0.6779661016949152,826,tiny,958,tiny,560,398,266,0,0
0.075,0,0145,0.7382740876560004,0.737794065492375,0.7387547348484849,8447,large,8459,large,6241,2218,2207,0,0
0.075,3,0145,0.7383614315291334,0.7379685467659927,0.7387547348484849,8447,large,8457,large,6241,2216,2207,0,0
0.1,0,0145,0.7399447712810662,0.7506699147381243,0.7295217803030303,8447,large,8210,large,6163,2047,2285,0,0
0.1,3,0145,0.7399891937323648,0.7507613594834938,0.7295217803030303,8447,large,8209,large,6163,2046,2285,0,0
0.125,0,0145,0.7408710420963242,0.7597661109728788,0.7228929924242424,8447,large,8038,large,6107,1931,2341,0,0
0.125,3,0145,0.7408710420963242,0.7597661109728788,0.7228929924242424,8447,large,8038,large,6107,1931,2341,0,0
0.075,0,0157,0.6898007033997655,0.6219873150105708,0.7742105263157895,1906,small,2365,small,1471,894,429,0,0
0.075,3,0157,0.6906103286384977,0.6233050847457627,0.7742105263157895,1906,small,2360,small,1471,889,429,0,0
0.1,0,0157,0.6918118882788254,0.6330275229357798,0.7626315789473684,1906,small,2289,small,1449,840,451,0,0
0.1,3,0157,0.6924731182795699,0.6341356673960613,0.7626315789473684,1906,small,2285,small,1449,836,451,0,0
0.125,0,0157,0.6929632335037741,0.644766651563208,0.7489473684210526,1906,small,2207,small,1423,784,477,0,0
0.125,3,0157,0.6929632335037741,0.644766651563208,0.7489473684210526,1906,small,2207,small,1423,784,477,0,0
0.075,0,0167,0.7771880160415192,0.7244639912039582,0.8381885256328712,7861,large,9095,large,6589,2506,1272,0,0
